time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-05-13 06:37:24.912 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,8176390144,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1557729444352, , , , ,3145728,1218, , , ,1,4,1,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,26265824,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-13 06:38:24.928 UTC, ,125,3164733,1184,18768,112, ,4, ,160, , , , , , , , , ,4,4, , , , ,2,6, ,5, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,8176390144,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1557729444352, , , , ,3145728,12491, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,28310728,-1, , , , , , ,675, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31, ,34, ,211, , , , , , , , , 
2019-05-13 06:39:24.943 UTC, ,125,3164733,1184,18768,112, ,4, ,14, , , , , , , , , ,4,4, , , , ,2,6, ,1, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,8174063616,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1557729444352, , , , ,3145728,13461, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,28310728,-1, , , , , , ,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,3, ,15, , , , , , , , , 
2019-05-13 06:40:24.950 UTC, ,125,3164733,1184,18768,112, ,4, , , , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,8173821952,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1557729444352, , , , ,3145728,13461, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,28992296,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-13 06:41:23.345 UTC, ,125,3164621,1184,18768, , ,4, ,1, , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,8173821952,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1557729444352, , , , ,3145728,13461, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,29673920,-1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , 
2019-05-13 06:43:38.489 UTC, ,125,3160245,1184,14392, , ,3,1,27,3,0.11, , , , , , , ,3,3, ,2,1,2,1,5, ,24,10, , , , , , , , , , , , , ,15469,2, ,13851, , , , ,15514,8177647616,-1,-1, , , , , ,2,109, , , , , , , , , , , , , , , , , , , , , , , , , ,15514, ,1557729817912, , , , ,3145728,15469, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,119324,32, , , , , , , , , , ,27914528,-1, , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-13 06:44:34.263 UTC, ,125,3163845,1184,17992, , ,4, ,13,1,0.08, , , , , , , ,4,4, , , ,2,2,6, ,3,1, , , , , , , , , , , , , ,15469,2, ,13851, , , , ,15514,8182263808,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15514, ,1557729817912, , , , ,3145728,16409, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6185,4, , , , , , , , , , ,29278128,-1, , , , , , ,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,3, ,12, , , , , , , , , 
2019-05-13 06:48:11.112 UTC, ,125,3160269,1184,14416, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,24,11, , , , , , , , , , , , , ,18092,3, ,16799, , , , ,18137,8184500224,10,10, , , , , ,3,123, , , , , , , , , , , , , , , , , , , , , , , , , ,18137, ,1557730090483, , , , ,3145728,18092, , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,135786,35, , , , , , , , , , ,27877816,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-13 06:49:11.120 UTC, ,125,3163981,1184,18016,112, ,4, ,21,1,0.05, , , , , , , ,4,4, , , ,2,2,6, ,4,1, , , , , , , , , , , , , ,18092,3, ,16799, , , , ,18137,8184029184,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18137, ,1557730090483, , , , ,3145728,19346, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6185,4, , , , , , , , , , ,29241080,-1, , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,3, ,19, , , , , , , , , 
2019-05-13 06:50:11.125 UTC, ,125,3164021,1184,18056,112, ,4, ,124, , , , , , , , , ,4,4, , , ,2,2,6, ,4, , , , , , , , , , , , , , ,18092,3, ,16799, , , , ,18137,8183009280,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18137, ,1557730090483, , , , ,3145728,25353, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,29922744,-1, , , , , , ,361, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17, ,18, ,167, , , , , , , , , 
